No.,UnixTime,Latitude,Longitude,SSID,Channel,RSSI(dBm),Obstacle
1,1658314390,35.15862155,136.9244656,1,20,-66,0
2,1658314390,35.15862155,136.9244656,1,20,-66,0
3,1658314390,35.15862155,136.9244656,1,20,-66,0
4,1658314391,35.15862155,136.9244656,1,20,-66,0
5,1658314391,35.15862155,136.9244656,1,20,-66,0
6,1658314391,35.15862155,136.9244656,1,20,-66,0
7,1658314391,35.15862155,136.9244656,1,20,-66,0
8,1658314391,35.15862155,136.9244656,1,20,-66,0
9,1658314391,35.15862155,136.9244656,1,20,-66,0
10,1658314392,35.15862155,136.9244656,1,20,-66,0
11,1658314392,35.15862155,136.9244656,1,20,-66,0
12,1658314392,35.15862155,136.9244656,1,20,-66,0
13,1658314392,35.15862155,136.9244656,1,20,-66,0
14,1658314392,35.15862155,136.9244656,1,20,-66,0
15,1658314393,35.15862155,136.9244656,1,20,-66,0
16,1658314393,35.15862155,136.9244656,1,20,-66,0
17,1658314393,35.15862155,136.9244656,1,20,-66,0
18,1658314393,35.15862155,136.9244656,1,20,-66,0
19,1658314393,35.15862155,136.9244656,1,20,-66,0
20,1658314393,35.15862155,136.9244656,1,20,-66,0
21,1658314394,35.15862155,136.9244656,1,20,-66,0
22,1658314394,35.15862155,136.9244656,1,20,-66,0
23,1658314394,35.15862155,136.9244656,1,20,-66,0
24,1658314394,35.15862155,136.9244656,1,20,-66,0
25,1658314394,35.15862155,136.9244656,1,20,-66,0
26,1658314395,35.15862155,136.9244656,1,20,-66,0
27,1658314395,35.15862155,136.9244656,1,20,-66,0
28,1658314395,35.15862155,136.9244656,1,20,-66,0
29,1658314395,35.15862155,136.9244656,1,20,-66,0
30,1658314395,35.15862155,136.9244656,1,20,-66,0
31,1658314395,35.15862155,136.9244656,1,20,-66,0
32,1658314396,35.15862155,136.9244656,1,20,-66,0
33,1658314396,35.15862155,136.9244656,1,20,-66,0
34,1658314396,35.15862155,136.9244656,1,20,-66,0
35,1658314396,35.15862155,136.9244656,1,20,-66,0
36,1658314396,35.15862155,136.9244656,1,20,-66,0
37,1658314397,35.15862155,136.9244656,1,20,-66,0
38,1658314397,35.15862155,136.9244656,1,20,-66,0
39,1658314397,35.15862155,136.9244656,1,20,-66,0
40,1658314397,35.15862155,136.9244656,1,20,-66,0
41,1658314397,35.15862155,136.9244656,1,20,-66,0
42,1658314397,35.15862155,136.9244656,1,20,-66,0
43,1658314398,35.15862155,136.9244656,1,20,-66,0
44,1658314398,35.15862155,136.9244656,1,20,-66,0
45,1658314398,35.15862155,136.9244656,1,20,-66,0
46,1658314398,35.15862155,136.9244656,1,20,-66,0
47,1658314398,35.15862155,136.9244656,1,20,-66,0
48,1658314399,35.15862155,136.9244656,1,20,-66,0
49,1658314399,35.15862155,136.9244656,1,20,-66,0
50,1658314399,35.15862155,136.9244656,1,20,-66,0
51,1658314399,35.15862155,136.9244656,1,20,-66,0
52,1658314399,35.15862155,136.9244656,1,20,-66,0
53,1658314399,35.15862155,136.9244656,1,20,-66,0
54,1658314400,35.15862155,136.9244656,1,20,-66,0
55,1658314400,35.15862155,136.9244656,1,20,-66,0
56,1658314400,35.15862155,136.9244656,1,20,-66,0
57,1658314400,35.15862155,136.9244656,1,20,-66,0
58,1658314400,35.15862155,136.9244656,1,20,-66,0
59,1658314400,35.15862155,136.9244656,1,20,-66,0
60,1658314401,35.15862155,136.9244656,1,20,-66,0
61,1658314401,35.15862155,136.9244656,1,20,-66,0
62,1658314401,35.15862155,136.9244656,1,20,-66,0
63,1658314401,35.15862155,136.9244656,1,20,-66,0
64,1658314402,35.15862155,136.9244656,1,20,-66,0
65,1658314402,35.15862155,136.9244656,1,20,-66,0
66,1658314402,35.15862155,136.9244656,1,20,-66,0
67,1658314402,35.15862155,136.9244656,1,20,-66,0
68,1658314402,35.15862155,136.9244656,1,20,-66,0
69,1658314402,35.15862155,136.9244656,1,20,-66,0
70,1658314403,35.15862155,136.9244656,1,20,-66,0
71,1658314403,35.15862155,136.9244656,1,20,-66,0
72,1658314403,35.15862155,136.9244656,1,20,-66,0
73,1658314403,35.15862155,136.9244656,1,20,-66,0
74,1658314403,35.15862155,136.9244656,1,20,-66,0
75,1658314404,35.15862155,136.9244656,1,20,-66,0
76,1658314404,35.15862155,136.9244656,1,20,-66,0
77,1658314404,35.15862155,136.9244656,1,20,-66,0
78,1658314404,35.15862155,136.9244656,1,20,-66,0
79,1658314404,35.15862155,136.9244656,1,20,-66,0
80,1658314404,35.15862155,136.9244656,1,20,-66,0
81,1658314405,35.15862155,136.9244656,1,20,-66,0
82,1658314405,35.15862155,136.9244656,1,20,-66,0
83,1658314405,35.15862155,136.9244656,1,20,-66,0
84,1658314405,35.15862155,136.9244656,1,20,-66,0
85,1658314405,35.15862155,136.9244656,1,20,-66,0
86,1658314406,35.15862155,136.9244656,1,20,-66,0
87,1658314406,35.15862155,136.9244656,1,20,-66,0
88,1658314406,35.15862155,136.9244656,1,20,-66,0
89,1658314406,35.15862155,136.9244656,1,20,-66,0
90,1658314406,35.15862155,136.9244656,1,20,-66,0
91,1658314407,35.15862155,136.9244656,1,20,-66,0
92,1658314407,35.15862155,136.9244656,1,20,-66,0
93,1658314407,35.15862155,136.9244656,1,20,-66,0
94,1658314407,35.15862155,136.9244656,1,20,-66,0
95,1658314407,35.15862155,136.9244656,1,20,-66,0
96,1658314407,35.15862155,136.9244656,1,20,-66,0
97,1658314408,35.15862155,136.9244656,1,20,-66,0
98,1658314408,35.15862155,136.9244656,1,20,-66,0
99,1658314408,35.15862155,136.9244656,1,20,-66,0
100,1658314408,35.15862155,136.9244656,1,20,-66,0
101,1658314492,35.15865273,136.9245213,1,20,-64,0
102,1658314492,35.15865273,136.9245213,1,20,-64,0
103,1658314493,35.15865273,136.9245213,1,20,-64,0
104,1658314493,35.15865273,136.9245213,1,20,-64,0
105,1658314493,35.15865273,136.9245213,1,20,-64,0
106,1658314493,35.15865273,136.9245213,1,20,-64,0
107,1658314493,35.15865273,136.9245213,1,20,-64,0
108,1658314494,35.15865273,136.9245213,1,20,-64,0
109,1658314494,35.15865273,136.9245213,1,20,-64,0
110,1658314494,35.15865273,136.9245213,1,20,-64,0
111,1658314494,35.15865273,136.9245213,1,20,-64,0
112,1658314494,35.15865273,136.9245213,1,20,-64,0
113,1658314495,35.15865273,136.9245213,1,20,-64,0
114,1658314495,35.15865273,136.9245213,1,20,-64,0
115,1658314495,35.15865273,136.9245213,1,20,-64,0
116,1658314495,35.15865273,136.9245213,1,20,-64,0
117,1658314495,35.15865273,136.9245213,1,20,-64,0
118,1658314496,35.15865273,136.9245213,1,20,-64,0
119,1658314496,35.15865273,136.9245213,1,20,-64,0
120,1658314496,35.15865273,136.9245213,1,20,-64,0
121,1658314496,35.15865273,136.9245213,1,20,-64,0
